香港,#genre#
TVB翡翠,http://206.119.163.196/群号587372902.php?id=30
TVB翡翠,http://206.119.163.196/群号587372902.php?id=390
TVB明珠,http://206.119.163.196/群号587372902.php?id=391
無線新聞,http://206.119.163.196/群号587372902.php?id=45
無線新聞,http://206.119.163.196/群号587372902.php?id=394
有線新聞,http://206.119.163.196/群号587372902.php?id=395
Viu TV,http://206.119.163.196/群号587372902.php?id=2334
Viutv,http://206.119.163.196/群号587372902.php?id=72
TVB無線財經,http://206.119.163.196/群号587372902.php?id=393
TVB J2,http://206.119.163.196/群号587372902.php?id=392
NOW新聞,http://206.119.163.196/群号587372902.php?id=396
NOW直播,http://206.119.163.196/群号587372902.php?id=400
澳亞衛視,http://206.119.163.196/群号587372902.php?id=85
鳳凰香港,http://206.119.163.196/群号587372902.php?id=358
鳳凰衛視,http://206.119.163.196/群号587372902.php?id=357
鳳凰衛視,http://206.119.163.196/群号587372902.php?id=2291
鳳凰資訊,http://206.119.163.196/群号587372902.php?id=359
鳳凰资讯,http://206.119.163.196/群号587372902.php?id=2292
星空衛視,http://206.119.163.196/群号587372902.php?id=56
港臺31,http://206.119.163.196/群号587372902.php?id=353
港臺32,http://206.119.163.196/群号587372902.php?id=397
香港開電視HD,http://206.119.163.196/群号587372902.php?id=1009
香港開電視,http://206.119.163.196/群号587372902.php?id=17
HKC娛樂,http://206.119.163.196/群号587372902.php?id=2293
HKC電影,http://206.119.163.196/群号587372902.php?id=354
HKC體育1,http://206.119.163.196/群号587372902.php?id=401
HKC體育2,http://206.119.163.196/群号587372902.php?id=356
澳門資訊,http://206.119.163.196/群号587372902.php?id=399
澳視澳門,http://206.119.163.196/群号587372902.php?id=23
澳視葡語,http://206.119.163.196/群号587372902.php?id=24
澳門Macau,http://206.119.163.196/群号587372902.php?id=364
有線603,http://206.119.163.196/群号587372902.php?id=398
18台,http://206.119.163.196/群号587372902.php?id=44
澳門蓮花,http://206.119.163.196/群号587372902.php?id=70
鳳凰電影,http://206.119.163.196/群号587372902.php?id=19
Viutv 6,http://206.119.163.196/群号587372902.php?id=176
耀才财经,http://206.119.163.196/群号587372902.php?id=355
創世電視,http://206.119.163.196/群号587372902.php?id=1317
NOW爆谷台,mitv://ns2.hellotvvod.com:9906/a24a57e234294e109571e1a54b3f1a8a
TVB1,http://206.119.163.196/群号587372902.php?id=1242
TVB DRAMA,http://206.119.163.196/群号587372902.php?id=1243
TVBJ1,http://206.119.163.196/群号587372902.php?id=1244
TVBE,http://206.119.163.196/群号587372902.php?id=1245
TVB星河粤语,http://206.119.163.196/群号587372902.php?id=1079
TVB 星河HD国语,http://206.119.163.196/群号587372902.php?id=1872
TVB经典,http://206.119.163.196/群号587372902.php?id=1083
新時代東部,http://206.119.163.196/群号587372902.php?id=1286
新時代西部,http://206.119.163.196/群号587372902.php?id=1287
城市電視,http://206.119.163.196/群号587372902.php?id=1289
新時代2,http://206.119.163.196/群号587372902.php?id=1288
台湾,#genre#
民視,http://206.119.163.196/群号587372902.php?id=26
民視,http://206.119.163.196/群号587372902.php?id=336
台視,http://206.119.163.196/群号587372902.php?id=27
台視,http://206.119.163.196/群号587372902.php?id=326
台視,http://206.119.163.196/群号587372902.php?id=312
中視,http://206.119.163.196/群号587372902.php?id=333
中視,http://206.119.163.196/群号587372902.php?id=28
中視,http://206.119.163.196/群号587372902.php?id=1041
華視,http://206.119.163.196/群号587372902.php?id=32
華視,http://206.119.163.196/群号587372902.php?id=2282
公視,http://206.119.163.196/群号587372902.php?id=86
公視測試,http://206.119.163.196/群号587372902.php?id=2302
幸福空間居家,http://206.119.163.196/群号587372902.php?id=61
好消息,http://206.119.163.196/群号587372902.php?id=104
原住民電視,http://206.119.163.196/群号587372902.php?id=95
客家電視,http://206.119.163.196/群号587372902.php?id=76
緯來綜合,http://206.119.163.196/群号587372902.php?id=340
八大第一,http://206.119.163.196/群号587372902.php?id=318
八大綜合,http://206.119.163.196/群号587372902.php?id=2286
東風衛視,http://206.119.163.196/群号587372902.php?id=2152
三立臺灣,http://206.119.163.196/群号587372902.php?id=35
三立臺灣,http://206.119.163.196/群号587372902.php?id=21
三立都會,http://206.119.163.196/群号587372902.php?id=38
三立都會,http://206.119.163.196/群号587372902.php?id=1001
衛視中文,http://206.119.163.196/群号587372902.php?id=342
東森綜合,http://206.119.163.196/群号587372902.php?id=372
東森超視,http://206.119.163.196/群号587372902.php?id=80
東森購物2,http://206.119.163.196/群号587372902.php?id=1156
中天綜合,http://206.119.163.196/群号587372902.php?id=54
中天娛樂,http://206.119.163.196/群号587372902.php?id=324
TVBS歡樂,http://206.119.163.196/群号587372902.php?id=40
TVBS歡樂,http://206.119.163.196/群号587372902.php?id=1358
八大精彩,http://206.119.163.196/群号587372902.php?id=1024
JET綜合,http://206.119.163.196/群号587372902.php?id=41
東森購物1,http://206.119.163.196/群号587372902.php?id=1155
TVBS,http://206.119.163.196/群号587372902.php?id=16
TVBS,http://206.119.163.196/群号587372902.php?id=2273
緯來育樂,http://206.119.163.196/群号587372902.php?id=338
緯來日本,http://206.119.163.196/群号587372902.php?id=337
緯來日本,http://206.119.163.196/群号587372902.php?id=46
國興衛視,http://206.119.163.196/群号587372902.php?id=65
信大電視,http://206.119.163.196/群号587372902.php?id=422
八大娱乐,http://206.119.163.196/群号587372902.php?id=105
好消息2,http://206.119.163.196/群号587372902.php?id=363
高點綜合,http://206.119.163.196/群号587372902.php?id=99
中天亞洲,http://206.119.163.196/群号587372902.php?id=2277
中天亞洲,http://206.119.163.196/群号587372902.php?id=322
民視綜藝,http://206.119.163.196/群号587372902.php?id=98
民視第一台,http://206.119.163.196/群号587372902.php?id=34
民視台灣,http://206.119.163.196/群号587372902.php?id=36
龍華日韓,http://206.119.163.196/群号587372902.php?id=382
豬哥亮歌廳秀,http://206.119.163.196/群号587372902.php?id=75
ELTA娛樂台,http://206.119.163.196/群号587372902.php?id=351
星衛娛樂,http://206.119.163.196/群号587372902.php?id=89
靖天國際,http://206.119.163.196/群号587372902.php?id=345
三立綜合,http://206.119.163.196/群号587372902.php?id=315
靖天資訊,http://206.119.163.196/群号587372902.php?id=49
靖天綜合,http://206.119.163.196/群号587372902.php?id=308
中視經典,http://206.119.163.196/群号587372902.php?id=185
寰宇綜合,http://206.119.163.196/群号587372902.php?id=190
中視菁采,http://206.119.163.196/群号587372902.php?id=74
TVBS精采,http://206.119.163.196/群号587372902.php?id=66
年代much,http://206.119.163.196/群号587372902.php?id=1359
ELTA綜合,http://206.119.163.196/群号587372902.php?id=1137
双子衛視,http://206.119.163.196/群号587372902.php?id=29
TVN台湾版,http://206.119.163.196/群号587372902.php?id=2288
東森購物3,http://206.119.163.196/群号587372902.php?id=1584
MOMO購物1,http://206.119.163.196/群号587372902.php?id=1585
MOMO購物2,http://206.119.163.196/群号587372902.php?id=1586
