
港台,#genre#
TVB翡翠台,http://45.78.59.78:13164/play.php?token=Yv4uR%2FfN36FWMWlKLxOyG0Jf&tid=gt&id=1
凤凰卫视中文,http://45.78.59.78:13164/play.php?token=GPAhn3ugKPESQAwZncZGhIfp&tid=gt&id=2
凤凰卫视资讯,http://45.78.59.78:13164/play.php?token=nIR3Bszs4qxNLpTXnETyaIRU&tid=gt&id=3
凤凰香港高清,http://45.78.59.78:13164/play.php?token=fDiMQpIrDEIwaO3%2FzGTMw1gA&tid=gt&id=4
香港卫视HKS,http://45.78.59.78:13164/play.php?token=tXQNdr50IGiSXawuqW4d%2BnfQ&tid=gt&id=6
香港开电视,http://45.78.59.78:13164/play.php?token=OUS5%2FWo2tpunrH6P7x0k15jR&tid=gt&id=7
ViuTV,http://45.78.59.78:13164/play.php?token=nY%2BdUMryZ0%2BpV55O5SRJ0PLS&tid=gt&id=8
TVB无线新闻台,http://45.78.59.78:13164/play.php?token=s0DbyFsE1Uhq6ZaQ1Di6aFCi&tid=gt&id=9
TVB无线财经资讯台,http://45.78.59.78:13164/play.php?token=wYajb8y5euUoRZOLNPLZODBy&tid=gt&id=10
TVB J2台,http://45.78.59.78:13164/play.php?token=1we%2BMIJshRn4qCwR6S%2FyhGV5&tid=gt&id=12
TVB明珠台,http://45.78.59.78:13164/play.php?token=QBuF51kbfN5y1Zh1s73MY3U0&tid=gt&id=13
NOW新闻台,http://45.78.59.78:13164/play.php?token=31O3KdVRqsq%2FRiwTg9cV3KZD&tid=gt&id=16
星空卫视,http://45.78.59.78:13164/play.php?token=QQTq8Xq0ofBuOdJtdrbQGMzt&tid=gt&id=18
耀才财经,http://45.78.59.78:13164/play.php?token=36%2Fv9BXFW56zJ13veo1kdw2A&tid=gt&id=19
港台电视31,http://45.78.59.78:13164/play.php?token=cospOkUq8JrsLl5tfGCYT7MF&tid=gt&id=20
港台电视32,http://45.78.59.78:13164/play.php?token=dAu5YZSR7MagfwIBfeD0jbLy&tid=gt&id=21
香港有线电影台,http://45.78.59.78:13164/play.php?token=9FyFBDIq2v%2BZou9kB03Qt55Q&tid=gt&id=23
香港有线新闻台,http://45.78.59.78:13164/play.php?token=WZHn6eOwQcUypX4FNYkW50e3&tid=gt&id=24
香港有线18台,http://45.78.59.78:13164/play.php?token=dCQr7aP92XJ8powjSLxxc6Jv&tid=gt&id=25
香港有线高清603台,http://45.78.59.78:13164/play.php?token=y1US4UWRtqH2KdjZIai8%2Babt&tid=gt&id=26
香港有线娱乐台,http://45.78.59.78:13164/play.php?token=zcCQwpd88IrtAeRGNWBDTUgH&tid=gt&id=27
香港有线财经资讯台,http://45.78.59.78:13164/play.php?token=gxXdNb2Yg4mfCGG0tV1wAjRt&tid=gt&id=28
澳门莲花,http://45.78.59.78:13164/play.php?token=IUnwgtAmh8cMCT5kRPpcXCtm&tid=gt&id=30
澳门卫视,http://45.78.59.78:13164/play.php?token=GXoLBzDGH1xnxLPwpVNjdQho&tid=gt&id=31
澳视资讯,http://45.78.59.78:13164/play.php?token=kP76yv01e%2BBphWdWyca%2BMHm%2F&tid=gt&id=32
澳視澳門,http://45.78.59.78:13164/play.php?token=1ocxCMxbfTeik8FFmoNyTJ4E&tid=gt&id=33
澳視卫星,http://45.78.59.78:13164/play.php?token=amoTeNwlqvfnOu2N4xWhcTdY&tid=gt&id=34
澳門Macau,http://45.78.59.78:13164/play.php?token=nyevNopY0tTTt3PzlpFNQ%2B1A&tid=gt&id=35
澳视卫星,http://45.78.59.78:13164/play.php?token=qahbZg6AUy0vaI%2Bg1T1kVrNt&tid=gt&id=36
澳视综艺,http://45.78.59.78:13164/play.php?token=mofkEgCEFpYyJTa9EPdbeaYg&tid=gt&id=37
澳视葡文,http://45.78.59.78:13164/play.php?token=%2F1biuUlvY2Vbsu6seENJ12iY&tid=gt&id=38
澳門3台,http://45.78.59.78:13164/play.php?token=hNNLZnd%2FIzztUwUEtC74Iomc&tid=gt&id=39
澳門微电影,http://45.78.59.78:13164/play.php?token=1gmdwEQIS03pFl7lx7%2FK6aO4&tid=gt&id=40
澳门葡萄牙,http://45.78.59.78:13164/play.php?token=nauKvnBzeDct6rJwOTWaKGXX&tid=gt&id=41
HBO HD,http://45.78.59.78:13164/play.php?token=21cO3qJO8Rw49tkLohwl99n1&tid=gt&id=43
Discovery,http://45.78.59.78:13164/play.php?token=p4TzL90ziayfta1xwB8qoG5q&tid=gt&id=45
国家地理,http://45.78.59.78:13164/play.php?token=4TJy3IlYyYtSt6O3kcjydUvi&tid=gt&id=46
卫视中文台,http://45.78.59.78:13164/play.php?token=4EARFRT69lqzwInN33bHgu1h&tid=gt&id=47
三立综合台,http://45.78.59.78:13164/play.php?token=nWQWM5Nek19QoGTmNUy%2FzUn%2B&tid=gt&id=48
三立都会台,http://45.78.59.78:13164/play.php?token=butVp2Nb2XczQ63RuFA0t%2BE6&tid=gt&id=49
三立戏剧台,http://45.78.59.78:13164/play.php?token=mLddyUkny4vEjHbP9k%2F3KBMh&tid=gt&id=50
三立台湾台,http://45.78.59.78:13164/play.php?token=vhlzpP8VQU%2BoeMjmUks4CpyT&tid=gt&id=51
中天新闻台,http://45.78.59.78:13164/play.php?token=2EoeLMUzvqHi1d7ZwpVLWjfO&tid=gt&id=53
TVBS新闻台,http://45.78.59.78:13164/play.php?token=6o9AdH2FLyDohmLqA3apSbHt&tid=gt&id=54
东森新闻台,http://45.78.59.78:13164/play.php?token=NK1GrorY7bljIRGhCg7eOZhJ&tid=gt&id=55
三立新闻台,http://45.78.59.78:13164/play.php?token=0Y%2Flyl64E2KkVR0e%2Fhl3tc1%2F&tid=gt&id=57
壹新闻,http://45.78.59.78:13164/play.php?token=lz3uOqW0Hy2RMdqjQRnmav5j&tid=gt&id=58
民视新闻台,http://45.78.59.78:13164/play.php?token=71hJ8TMYP%2FGJxoAJrLJnUJT%2F&tid=gt&id=59
中视新闻,http://45.78.59.78:13164/play.php?token=1%2Fp4%2BB8XtpvWBOYd0qZC98jZ&tid=gt&id=60
年代新闻,http://45.78.59.78:13164/play.php?token=482tKdeGnxtBGMJ4oof6jMZm&tid=gt&id=61
非凡新闻台,http://45.78.59.78:13164/play.php?token=Z31CPv3fawNhMU%2BxJoyinN%2Fm&tid=gt&id=62
寰宇新闻台,http://45.78.59.78:13164/play.php?token=hLpGF2m4i7bIaUd3LotaneA7&tid=gt&id=63
寰宇新闻2台,http://45.78.59.78:13164/play.php?token=LeWn3Wbuihf0kC%2FMXrCbRCpN&tid=gt&id=64
八大综合台,http://45.78.59.78:13164/play.php?token=TM0TfbKwtaYS14VeTS5ncxxb&tid=gt&id=66
八大娱乐台,http://45.78.59.78:13164/play.php?token=e%2B8VZN9ZKUVQcuXxGpxm7Xtc&tid=gt&id=67
东森电影,http://45.78.59.78:13164/play.php?token=ao2MCyOKg8Yg%2BgjfOehhnT%2Fl&tid=gt&id=68
东森超视,http://45.78.59.78:13164/play.php?token=dQHlcCTYMxdQE7qznKk0XLgR&tid=gt&id=69
东森综合台,http://45.78.59.78:13164/play.php?token=fhKS16YDGVfKDsBjol%2Fy48YY&tid=gt&id=70
东森亚洲,http://45.78.59.78:13164/play.php?token=%2Bc0opA2%2FBDAfRQCDHd41Y8oP&tid=gt&id=71
东森洋片,http://45.78.59.78:13164/play.php?token=a5FB1tglPUEbfZuysX1UJjR4&tid=gt&id=72
东森幼幼,http://45.78.59.78:13164/play.php?token=dUHoNWT3BpK3Wup%2FcYR4twE0&tid=gt&id=73
东森戏剧台,http://45.78.59.78:13164/play.php?token=2b6GAYT%2BGUT%2B8zizilt8NhWv&tid=gt&id=74
好莱坞电影台,http://45.78.59.78:13164/play.php?token=fjoNv4cuGrDDPG36mr54ExYK&tid=gt&id=75
龙祥时代,http://45.78.59.78:13164/play.php?token=Tn5dtX4gKHqv%2B8tu7NCjQ07b&tid=gt&id=76
华纳 TV,http://45.78.59.78:13164/play.php?token=b%2BRn9ctaWllNGZpT%2Fk0F00vJ&tid=gt&id=78
星卫电影台,http://45.78.59.78:13164/play.php?token=C%2FxhPoQFOpvFYk654quo1LhS&tid=gt&id=79
美亚电影台,http://45.78.59.78:13164/play.php?token=XvaKwc%2BFs2a%2B5bEQ7I%2FXJlNC&tid=gt&id=80
卫视电影台,http://45.78.59.78:13164/play.php?token=d%2BAOhsxqf08OfVb4kVg6TonN&tid=gt&id=81
中视HD,http://45.78.59.78:13164/play.php?token=gNT6ZKARHhSAV7yFb1KUmF%2BY&tid=gt&id=82
台视HD,http://45.78.59.78:13164/play.php?token=2ESbkNZjVT6W9NIcPWSShBK5&tid=gt&id=83
民视HD,http://45.78.59.78:13164/play.php?token=imuUout6ggax1qepQHwTNDaS&tid=gt&id=84
公视HD,http://45.78.59.78:13164/play.php?token=xmEFbuMBlIQBlZGAik4ehkL6&tid=gt&id=85
华视HD,http://45.78.59.78:13164/play.php?token=fzqAVhfhHGvz0Ce5%2F91FQtbH&tid=gt&id=86
中天综合,http://45.78.59.78:13164/play.php?token=0H3oe3F1bcaWc8E2jEc0NtIK&tid=gt&id=89
中天娱乐,http://45.78.59.78:13164/play.php?token=nKGAVIfdx5wULc7MBwNLNbNm&tid=gt&id=90
中天亚洲,http://45.78.59.78:13164/play.php?token=ahS1aJ2NL9T0D9IW3ggiId7w&tid=gt&id=91
动物星球,http://45.78.59.78:13164/play.php?token=U%2B7bWDE44%2BBB4Vh988YsWLZy&tid=gt&id=93
TVBS(HD),http://45.78.59.78:13164/play.php?token=9FTA%2Fg2qW7EvMGvaOSKlp5y2&tid=gt&id=95
TVBS精彩台,http://45.78.59.78:13164/play.php?token=3zc%2FY0bR6617UMRe1ow%2B2m5y&tid=gt&id=96
TVBS欢乐台(HD),http://45.78.59.78:13164/play.php?token=1Gqa33xbcJ2BZ0w0TSKR0jez&tid=gt&id=97
民视台湾台,http://45.78.59.78:13164/play.php?token=voif%2FhHmQxIFcmHmu5yNIYTa&tid=gt&id=99
民视第一台,http://45.78.59.78:13164/play.php?token=R8XhIrEuPg4LqFZ%2FskvxR%2BgO&tid=gt&id=100
民视综艺,http://45.78.59.78:13164/play.php?token=V6h%2FDBqy0CNb5AbTfGhKDwJF&tid=gt&id=101
民视旅游,http://45.78.59.78:13164/play.php?token=wupWw96H%2FWDM7N4MPYPFBvbc&tid=gt&id=102
民视影剧,http://45.78.59.78:13164/play.php?token=wslqBo3m4n0S2TV2BQ6CLatH&tid=gt&id=103
FOX HD,http://45.78.59.78:13164/play.php?token=bUmJSDmkbvOJHulaBBwxvJYR&tid=gt&id=105
FOX SPORTS(HD),http://45.78.59.78:13164/play.php?token=Ssh63yNfvXNmO8mXeUsRzhed&tid=gt&id=106
FOX SPORTS 2(HD),http://45.78.59.78:13164/play.php?token=35qoNHQxN44tpM3OXb4Kft53&tid=gt&id=107
FOX MOVIES(HD),http://45.78.59.78:13164/play.php?token=q8ysw4ly9w%2BsXbAiClv0Hfqn&tid=gt&id=108
Channel [V],http://45.78.59.78:13164/play.php?token=tP1t%2B%2F4oyaUKz7d0x35SpCoG&tid=gt&id=110
Star Sport,http://45.78.59.78:13164/play.php?token=OfVTNIWdQS5CmO%2FsJrVN1cbU&tid=gt&id=111


翡翠台,http://zb.q8kk.com/a.php?id=fct
J2,http://zb.q8kk.com/a.php?id=j2
J5,http://zb.q8kk.com/a.php?id=j5
互动新闻HD,http://zb.q8kk.com/a.php?id=hdxwhd
明珠台,http://zb.q8kk.com/a.php?id=mzt
星空卫视,http://zb.q8kk.com/a.php?id=xkws
澳门莲花,http://zb.q8kk.com/a.php?id=amlh
阳光卫视,http://zb.q8kk.com/a.php?id=ygws
国家地理,http://zb.q8kk.com/a.php?id=gjdlpd
